ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
3,Non Profit Agency,Public Elementary School,1,164,1
8,Non Profit Agency,Public Elementary School,1,83,1
25,Non Profit Agency,Catholic Elementary School,1,102,1
10,Non Profit Agency,Other,1,65,1
20,Non Profit Agency,High Rise Apartment,1,26,1
24,Non Profit Agency,Community College/University,1,62,1
6,Non Profit Agency,Public High School,1,49,1
24,Commercial Agency,High Rise Apartment,1,46,1
19,Non Profit Agency,Public Elementary School,1,51,1
8,Non Profit Agency,Public Elementary School,1,153,1
3,Non Profit Agency,Public Elementary School,1,189,1
24,Commercial Agency,High Rise Apartment,1,94,1
4,Non Profit Agency,Public Elementary School,1,184,1
19,Non Profit Agency,Public Elementary School,1,143,1
1,Non Profit Agency,Public Elementary School,1,81,1
14,Non Profit Agency,House,1,40,1
1,Commercial Agency,House,1,64,1
24,Commercial Agency,Purpose Built,1,143,1
1,Commercial Agency,High Rise Apartment,1,83,0
24,Non Profit Agency,Public Elementary School,1,110,1
5,Non Profit Agency,Synagogue,1,44,1
7,Commercial Agency,High Rise Apartment,1,100,1
14,Non Profit Agency,House,1,58,1
24,Non Profit Agency,Community/Recreation Centre,1,49,1
3,Non Profit Agency,House,1,26,1
17,Non Profit Agency,Public Elementary School,1,95,1
14,Non Profit Agency,Public Elementary School,1,76,1
3,Commercial Agency,Public Elementary School,0,95,1
19,Non Profit Agency,Public Elementary School,1,210,1
19,Non Profit Agency,Public Elementary School,1,90,1
1,Non Profit Agency,Public (school closed),1,72,1
2,Commercial Agency,Office Building,0,64,1
15,Non Profit Agency,Public Elementary School,1,125,1
24,Commercial Agency,High Rise Apartment,1,104,1
5,Commercial Agency,Other,1,46,1
2,Non Profit Agency,Public High School,1,41,1
9,Non Profit Agency,Public Elementary School,1,69,1
1,Non Profit Agency,Public High School,1,41,1
15,Non Profit Agency,Public High School,1,36,1
10,Non Profit Agency,Public Elementary School,1,140,1
24,Non Profit Agency,Public Elementary School,1,82,1
18,Non Profit Agency,Public Elementary School,1,166,1
15,Non Profit Agency,Other,1,99,1
2,Non Profit Agency,Public Elementary School,1,110,1
3,Non Profit Agency,Public Elementary School,1,153,1
5,Non Profit Agency,Public High School,1,41,1
14,Non Profit Agency,Place of Worship,1,167,1
24,Commercial Agency,House,1,41,1
17,Non Profit Agency,Public (school closed),1,49,1
24,Non Profit Agency,Public Elementary School,1,72,1
6,Commercial Agency,Industrial Building,1,109,1
10,Non Profit Agency,High Rise Apartment,1,67,1
11,Non Profit Agency,Place of Worship,1,36,0
5,Commercial Agency,Purpose Built,1,56,1
12,Non Profit Agency,House,1,25,1
25,Non Profit Agency,Purpose Built,1,52,1
19,Non Profit Agency,Catholic Elementary School,1,120,1
5,Commercial Agency,Purpose Built,1,105,1
21,Non Profit Agency,Other,1,79,1
10,Non Profit Agency,Public Elementary School,1,30,1
12,Non Profit Agency,Public Elementary School,1,114,1
1,Non Profit Agency,Community/Rec Centre - City,1,73,1
24,Commercial Agency,High Rise Apartment,1,88,1
3,Non Profit Agency,Public Elementary School,1,138,1
1,Non Profit Agency,Community College/University,1,98,1
8,Commercial Agency,Place of Worship,1,93,1
5,Non Profit Agency,Public Elementary School,1,69,1
5,Non Profit Agency,Catholic High School,1,18,1
17,Non Profit Agency,Public Elementary School,1,100,1
14,Non Profit Agency,Catholic Elementary School,1,110,1
19,Commercial Agency,Other,1,80,1
1,Commercial Agency,Public Elementary School,1,76,1
9,Non Profit Agency,Public Elementary School,1,133,1
1,Non Profit Agency,Public Elementary School,1,100,1
8,Non Profit Agency,Public Elementary School,1,170,1
11,Non Profit Agency,Purpose Built,1,49,1
5,Non Profit Agency,Place of Worship,1,62,1
19,Non Profit Agency,Catholic Elementary School,1,144,1
12,Non Profit Agency,Public Elementary School,1,133,1
5,Non Profit Agency,Office Building,1,36,1
23,Commercial Agency,High Rise Apartment,1,118,1
2,Commercial Agency,Place of Worship,0,70,0
1,Commercial Agency,High Rise Apartment,0,99,1
2,Non Profit Agency,Place of Worship,1,67,1
22,Non Profit Agency,Other,1,138,1
12,Non Profit Agency,Public Elementary School,1,80,1
24,Commercial Agency,High Rise Apartment,1,65,1
1,Commercial Agency,Public Elementary School,1,90,1
17,Commercial Agency,Church,1,70,1
5,Commercial Agency,House,1,60,1
21,Commercial Agency,High Rise Apartment,1,71,1
5,Non Profit Agency,Other,1,66,1
6,Non Profit Agency,Public Elementary School,1,74,1
12,Non Profit Agency,Public High School,1,49,1
21,Commercial Agency,High Rise Apartment,1,97,1
12,Non Profit Agency,Public Elementary School,1,302,1
21,Non Profit Agency,Public Elementary School,1,142,1
5,Non Profit Agency,Public Elementary School,1,151,1
2,Non Profit Agency,Public Elementary School,1,108,1
22,Commercial Agency,High Rise Apartment,1,81,1
3,Commercial Agency,Other,0,79,1
23,Non Profit Agency,Place of Worship,1,86,1
14,Non Profit Agency,Public Elementary School,1,260,1
21,Commercial Agency,Place of Worship,0,69,0
21,Non Profit Agency,Place of Worship,1,49,1
13,Non Profit Agency,Community/Recreation Centre,1,46,1
6,Non Profit Agency,Public Elementary School,1,174,1
7,Commercial Agency,Community/Recreation Centre,1,137,1
